Total Price,Cost/Square Ft,Square Ft,Bedroom,Bathroom,Contact
₹ 1.6 Cr,"₹ 11,721/sq.ft.","1,365 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-greens-sector-23-kharghar-mumbai-navi-1365-sq-ft-spid-I49020587
₹ 30.14 - 30.97 Lac,"₹ 10,854/sq.ft.",278-285 sq.ft.,1 BHK,3 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-villa-oceano-dronagiri-navi-mumbai-278-sq-ft-to-285-sq-ft-npspid-Y47679661
₹ 55 Lac,"₹ 9,581/sq.ft.",574 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-shankeshwar-chs-sector-11-kharghar-mumbai-navi-574-sq-ft-spid-D48892591
₹ 35 - 35 Lac,"₹ 12,311/sq.ft.",261-311 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-jayesh-villa-wahal-mumbai-navi-261-sq-ft-to-311-sq-ft-npspid-O48382457
₹ 1.1 Cr,"₹ 9,565/sq.ft.","1,150 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-giriraj-patil-residency-kharghar-navi-mumbai-1150-sq-ft-spid-C49022635
₹ 1.85 Cr,"₹ 12,982/sq.ft.","1,425 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-fortune-city-panvel-navi-mumbai-1425-sq-ft-npspid-P48841213
₹ 87 Lac,"₹ 20,138/sq.ft.",432 sq.ft.,2 BHK,3 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-platinum-experio-kalamboli-navi-mumbai-432-sq-ft-npspid-J49038883
₹ 71.73 Lac,"₹ 10,253/sq.ft.",699 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-park-panvel-navi-mumbai-700-sq-ft-npspid-G48935577
₹ 1.22 Cr,"₹ 12,200/sq.ft.","1,000 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-20-airoli-mumbai-navi-1000-sq-ft-spid-N48654089
₹ 1.97 Cr,"₹ 11,588/sq.ft.","1,700 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eminence-sector-13-nerul-mumbai-navi-1700-sq-ft-r1-spid-O47383993
₹ 78 Lac,"₹ 6,782/sq.ft.","1,150 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bks-galaxy-sector-35i-kharghar-mumbai-navi-1150-sq-ft-spid-R49038631
₹ 79.79 Lac,"₹ 6,790/sq.ft.","1,175 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-galaxy-orion-kharghar-navi-mumbai-1175-sq-ft-spid-I48686467
₹ 1.18 Cr,"₹ 10,488/sq.ft.","1,125 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mahaavir-jyoti-sector-10-kharghar-mumbai-navi-1125-sq-ft-spid-P47832411
₹ 34.98 Lac,"₹ 8,421/sq.ft.",415 sq.ft.,1 BHK,3 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-shree-ganesh-karanjada-mumbai-navi-415-sq-ft-npspid-C49046849
₹ 6.5 Cr,"₹ 20,312/sq.ft.","3,200 sq.ft.",5 BHK,5 Baths,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-sector-17-sanpada-mumbai-navi-3200-sq-ft-r1-spid-V45949155
₹ 1.12 Cr,"₹ 10,500/sq.ft.","1,070 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-alliance-one-ghansoli-navi-mumbai-1070-sq-ft-npspid-G49046943
₹ 45 Lac,"₹ 7,438/sq.ft.",605 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-stone-villa-sector-17-ulwe-mumbai-navi-605-sq-ft-spid-Q48567159
₹ 1.8 Cr,"₹ 10,714/sq.ft.","1,680 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-green-world-airoli-navi-mumbai-1680-sq-ft-spid-U48403887
₹ 1.8 Cr,"₹ 10,084/sq.ft.","1,785 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hills-residency-kharghar-navi-mumbai-1785-sq-ft-r1-spid-Z47506853
₹ 1.29 - 1.45 Cr,"₹ 11,111/sq.ft.","1,161-1,307 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-world-city-panvel-navi-mumbai-1161-sq-ft-to-1307-sq-ft-npspid-Y48919667
₹ 86 Lac,"₹ 14,957/sq.ft.",575 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-arihant-aspire-panvel-navi-mumbai-575-sq-ft-npspid-K49030107
₹ 80 Lac,"₹ 6,722/sq.ft.","1,190 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ulwe-navi-mumbai-1190-sq-ft-spid-U49026245
₹ 85 Lac,"₹ 8,947/sq.ft.",950 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-prem-amber-sector-16-kamothe-mumbai-navi-950-sq-ft-spid-B47930403
₹ 78 Lac,"₹ 11,142/sq.ft.",700 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-48-seawoods-mumbai-navi-700-sq-ft-spid-A48823341
₹ 61 Lac,"₹ 10,517/sq.ft.",580 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-20b-airoli-mumbai-navi-580-sq-ft-r1-spid-M42340873
₹ 59 - 60.84 Lac,"₹ 20,486/sq.ft.",288-297 sq.ft.,1 BHK,3 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-platinum-experio-kalamboli-navi-mumbai-288-sq-ft-to-297-sq-ft-npspid-Q49038881
₹ 32.98 - 34.28 Lac,"₹ 8,115/sq.ft.",406-422 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-guru-sai-janardhan-residency-wahal-mumbai-navi-406-sq-ft-to-423-sq-ft-npspid-F49046051
₹ 34.25 - 39.51 Lac,"₹ 4,500/sq.ft.",761-878 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-purva-om-residency-panvel-navi-mumbai-761-sq-ft-to-878-sq-ft-npspid-I48987119
₹ 1.6 Cr,"₹ 18,604/sq.ft.",860 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shiv-deep-chs-sector-29-vashi-mumbai-navi-860-sq-ft-spid-Y47820491
₹ 86 Lac,"₹ 9,052/sq.ft.",950 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sr-a-n-hill-view-sector-27-nerul-mumbai-navi-950-sq-ft-spid-X49052123
₹ 56 Lac,"₹ 8,175/sq.ft.",685 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-soham-shakti-sector-17-ulwe-mumbai-navi-685-sq-ft-spid-Y48198353
₹ 2.02 Cr,"₹ 11,994/sq.ft.","1,680 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eminence-nerul-navi-mumbai-1680-sq-ft-spid-W48844647
₹ 1.1 Cr,"₹ 6,875/sq.ft.","1,600 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-balaji-aangan-sector-3-kharghar-mumbai-navi-1600-sq-ft-spid-N48999363
₹ 80 Lac,"₹ 7,729/sq.ft.","1,035 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-sapphire-sector-20-ulwe-mumbai-navi-1035-sq-ft-spid-U49057565
₹ 50 Lac,"₹ 7,022/sq.ft.",712 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ulwe-navi-mumbai-712-sq-ft-spid-B49026843
